id,datetime,visitor_id,revenue,device_type,device_name
1,2019-10-05 00:00:00,1016870803637,156.68347852553708,1,Desktop
2,2019-10-11 00:00:00,48076008851343,262.70519945596766,4,Unknown
3,2019-08-19 00:00:00,72300317870324,511.4181420476257,2,Tablet
4,2019-10-14 00:00:00,84516511452821,593.8755045649982,3,Mobile Phone
5,2019-09-10 00:00:00,44780848857001,674.2801956714196,3,Mobile Phone
6,2019-09-20 00:00:00,54145933160851,59.7362837453902,2,Tablet
7,2019-10-13 00:00:00,68564288760762,462.83604978444015,4,Unknown
8,2019-10-22 00:00:00,74593067572606,170.14154434317973,2,Tablet
9,2019-08-12 00:00:00,74912374801029,862.7377112288809,4,Unknown
10,2019-10-25 00:00:00,67206600864292,29.665909406771274,4,Unknown
11,2019-10-28 00:00:00,72257448527137,337.8129959788193,4,Unknown
12,2019-08-16 00:00:00,31161783828987,893.7967769244417,2,Tablet
13,2019-09-21 00:00:00,74019332491246,155.86538801255344,3,Mobile Phone
14,2019-10-19 00:00:00,97387717610795,614.9904324224483,4,Unknown
15,2019-09-03 00:00:00,45101854301536,254.56788770179503,4,Unknown
16,2019-08-07 00:00:00,39618162285184,178.4540603509617,4,Unknown
17,2019-09-22 00:00:00,79503222532643,236.87852890240174,3,Mobile Phone
18,2019-11-01 00:00:00,47711898936813,934.9268811121353,4,Unknown
19,2019-10-27 00:00:00,27411965646696,138.88557131746978,3,Mobile Phone
20,2019-09-14 00:00:00,79047396341564,625.7529523881024,3,Mobile Phone
21,2019-10-19 00:00:00,11315178096070,411.05821939064117,3,Mobile Phone
22,2019-10-16 00:00:00,24012466194495,269.6912706529078,1,Desktop
23,2019-09-19 00:00:00,17029684917498,641.0621015714399,1,Desktop
24,2019-09-14 00:00:00,59005300724987,17.04354714815032,2,Tablet
25,2019-10-23 00:00:00,96729202710375,415.3622212214476,2,Tablet
26,2019-09-18 00:00:00,13585562094666,651.8292077113063,2,Tablet
27,2019-09-07 00:00:00,51653737316798,581.551182764281,2,Tablet
