id,datetime,visitor_id,device_type,revenue,tax
1,2019-10-05 00:00:00,1016870803637,1,173.33145969613358,0.19
2,2019-10-11 00:00:00,48076008851343,4,290.1053517592252,0.07
3,2019-08-19 00:00:00,72300317870324,2,511.4181420476257,0.07
4,2019-10-14 00:00:00,84516511452821,3,593.8755045649982,0.19
5,2019-09-10 00:00:00,44780848857001,3,674.2801956714196,0.07
6,2019-09-20 00:00:00,54145933160851,2,59.7362837453902,0.07
7,2019-10-13 00:00:00,68564288760762,4,512.0134481572288,0.19
8,2019-10-22 00:00:00,74593067572606,2,170.14154434317973,0.07
9,2019-08-12 00:00:00,74912374801029,4,862.7377112288809,0.07
10,2019-10-25 00:00:00,67206600864292,4,29.665909406771274,0.07
11,2019-10-28 00:00:00,72257448527137,4,337.8129959788193,0.19
12,2019-08-16 00:00:00,31161783828987,2,893.7967769244417,0.07
13,2019-09-21 00:00:00,74019332491246,3,172.42644517824425,0.07
14,2019-10-19 00:00:00,97387717610795,4,680.3345850760237,0.07
15,2019-09-03 00:00:00,45101854301536,4,254.56788770179503,0.19
16,2019-08-07 00:00:00,39618162285184,4,178.4540603509617,0.19
17,2019-09-22 00:00:00,79503222532643,3,262.04741924104104,0.07
18,2019-11-01 00:00:00,47711898936813,4,934.9268811121353,0.07
19,2019-10-27 00:00:00,27411965646696,3,153.64248377511558,0.07
20,2019-09-14 00:00:00,79047396341564,3,692.2406476246132,0.19
21,2019-10-19 00:00:00,11315178096070,3,454.73410379678785,0.19
22,2019-10-16 00:00:00,24012466194495,1,269.6912706529078,0.19
23,2019-09-19 00:00:00,17029684917498,1,641.0621015714399,0.07
24,2019-09-14 00:00:00,59005300724987,2,18.85446336390395,0.19
25,2019-10-23 00:00:00,96729202710375,2,415.3622212214476,0.07
26,2019-09-18 00:00:00,13585562094666,2,651.8292077113063,0.07
27,2019-09-07 00:00:00,51653737316798,2,643.342337974177,0.07
28,2019-09-26 00:00:00,6224970231388,3,764.2974433333836,0.19
29,2019-09-06 00:00:00,86017690185412,2,761.6973317859123,0.19
30,2019-09-05 00:00:00,30526682294845,2,124.58779921036025,0.07
31,2019-10-10 00:00:00,52164460431246,2,730.8992412609638,0.07
32,2019-09-12 00:00:00,2086917030708,1,519.4360533711985,0.19
33,2019-10-13 00:00:00,55711069540774,2,305.51344963995916,0.07
34,2019-08-07 00:00:00,69512920708889,4,161.38927760440103,0.19
35,2019-09-22 00:00:00,81079023380836,2,240.37997744006447,0.07
36,2019-10-15 00:00:00,43129968770844,2,903.9940787921128,0.19
37,2019-10-09 00:00:00,3979029989679,3,481.2938915754198,0.07
38,2019-08-11 00:00:00,25662618227295,2,272.57185994385924,0.07
39,2019-10-02 00:00:00,84878295639931,2,930.0074967698654,0.07
40,2019-08-13 00:00:00,96481967263931,3,476.48545403216326,0.07
41,2019-09-01 00:00:00,5912788198719,1,5.159177339339682,0.19
42,2019-08-14 00:00:00,56713558605689,4,755.6429642955217,0.19
43,2019-08-11 00:00:00,32541817151812,1,336.53949088230047,0.07
44,2019-11-01 00:00:00,15363719371717,4,458.6501707162216,0.19
45,2019-09-14 00:00:00,47447038460279,1,993.9835022725771,0.07
46,2019-09-07 00:00:00,98093108644448,4,566.9411006927976,0.07
47,2019-08-19 00:00:00,60505299592873,4,913.641257864884,0.19
48,2019-09-22 00:00:00,18151304632325,4,952.8012918652839,0.07
49,2019-10-31 00:00:00,49179450419439,2,595.868543096989,0.07
50,2019-08-30 00:00:00,98117926509986,1,590.6047130318997,0.19
51,2019-09-17 00:00:00,65247762491065,3,888.0673065230127,0.19
52,2019-08-12 00:00:00,54278578539092,3,397.3668913598596,0.19
53,2019-08-12 00:00:00,4174132061868,3,50.51355885435216,0.19
54,2019-09-07 00:00:00,39041927718356,4,447.4837046031366,0.07
55,2019-08-23 00:00:00,49834338770012,4,227.69954863138088,0.07
56,2019-08-06 00:00:00,83705422749370,3,232.01500293376338,0.07
57,2019-10-20 00:00:00,97378615648630,2,427.2664113942567,0.19
58,2019-10-12 00:00:00,51770556649116,1,533.3757657248497,0.19
